[117] train-err:0.140860 train-nlik:0.550929 valid-err:0.140100 valid-nlik:0.549721 test-err:0.134400 test-nlik:0.538028
[118] train-err:0.140760 train-nlik:0.550452 valid-err:0.140600 valid-nlik:0.549243 test-err:0.135100 test-nlik:0.537507
[119] train-err:0.140760 train-nlik:0.551092 valid-err:0.141400 valid-nlik:0.549945 test-err:0.134600 test-nlik:0.538140
[120] train-err:0.140380 train-nlik:0.550689 valid-err:0.140900 valid-nlik:0.549506 test-err:0.134200 test-nlik:0.538026
[121] train-err:0.140400 train-nlik:0.551243 valid-err:0.140900 valid-nlik:0.550025 test-err:0.133800 test-nlik:0.538614
[122] train-err:0.140280 train-nlik:0.551494 valid-err:0.140300 valid-nlik:0.550338 test-err:0.134100 test-nlik:0.538900
[123] train-err:0.140080 train-nlik:0.551321 valid-err:0.140200 valid-nlik:0.550117 test-err:0.133700 test-nlik:0.538732
[124] train-err:0.139920 train-nlik:0.551268 valid-err:0.140000 valid-nlik:0.550015 test-err:0.133500 test-nlik:0.538758
[125] train-err:0.140240 train-nlik:0.552097 valid-err:0.140700 valid-nlik:0.550907 test-err:0.133800 test-nlik:0.539696
[126] train-err:0.140580 train-nlik:0.553601 valid-err:0.141100 valid-nlik:0.552467 test-err:0.133500 test-nlik:0.541297
[127] train-err:0.140340 train-nlik:0.553799 valid-err:0.140700 valid-nlik:0.552731 test-err:0.133700 test-nlik:0.541671
[128] train-err:0.139760 train-nlik:0.553913 valid-err:0.139800 valid-nlik:0.552866 test-err:0.133200 test-nlik:0.541772
[129] train-err:0.139820 train-nlik:0.553737 valid-err:0.139400 valid-nlik:0.552687 test-err:0.134000 test-nlik:0.541579
[130] train-err:0.140260 train-nlik:0.554515 valid-err:0.140400 valid-nlik:0.553493 test-err:0.134100 test-nlik:0.542375
[131] train-err:0.140600 train-nlik:0.554955 valid-err:0.140000 valid-nlik:0.553879 test-err:0.134400 test-nlik:0.542890
[132] train-err:0.139980 train-nlik:0.554585 valid-err:0.140000 valid-nlik:0.553579 test-err:0.133600 test-nlik:0.542808
[133] train-err:0.139460 train-nlik:0.554096 valid-err:0.139700 valid-nlik:0.553087 test-err:0.133500 test-nlik:0.542499
[134] train-err:0.138960 train-nlik:0.553674 valid-err:0.139300 valid-nlik:0.552623 test-err:0.133200 test-nlik:0.542103
[135] train-err:0.139300 train-nlik:0.553739 valid-err:0.139000 valid-nlik:0.552790 test-err:0.133300 test-nlik:0.542158
[136] train-err:0.138860 train-nlik:0.553430 valid-err:0.139400 valid-nlik:0.552528 test-err:0.133200 test-nlik:0.541934
[137] train-err:0.138320 train-nlik:0.553502 valid-err:0.138300 valid-nlik:0.552556 test-err:0.133200 test-nlik:0.542182
[138] train-err:0.138680 train-nlik:0.553398 valid-err:0.138400 valid-nlik:0.552422 test-err:0.133400 test-nlik:0.542086
[139] train-err:0.139180 train-nlik:0.553446 valid-err:0.138400 valid-nlik:0.552381 test-err:0.133400 test-nlik:0.542176
[140] train-err:0.139400 train-nlik:0.553777 valid-err:0.138700 valid-nlik:0.552686 test-err:0.133200 test-nlik:0.542554
[141] train-err:0.140020 train-nlik:0.554396 valid-err:0.139700 valid-nlik:0.553374 test-err:0.133600 test-nlik:0.543220
