[123] train-err:0.077380 train-nlik:0.285090 valid-err:0.079300 valid-nlik:0.291002 test-err:0.076600 test-nlik:0.280896
[124] train-err:0.077160 train-nlik:0.284572 valid-err:0.079300 valid-nlik:0.290532 test-err:0.076600 test-nlik:0.280441
[125] train-err:0.077060 train-nlik:0.284061 valid-err:0.079400 valid-nlik:0.290080 test-err:0.076600 test-nlik:0.280012
[126] train-err:0.076920 train-nlik:0.283553 valid-err:0.079300 valid-nlik:0.289635 test-err:0.076800 test-nlik:0.279589
[127] train-err:0.076620 train-nlik:0.283042 valid-err:0.078900 valid-nlik:0.289178 test-err:0.076600 test-nlik:0.279149
[128] train-err:0.076520 train-nlik:0.282549 valid-err:0.078700 valid-nlik:0.288723 test-err:0.076500 test-nlik:0.278719
[129] train-err:0.076320 train-nlik:0.282067 valid-err:0.078500 valid-nlik:0.288273 test-err:0.076400 test-nlik:0.278284
[130] train-err:0.076080 train-nlik:0.281589 valid-err:0.078300 valid-nlik:0.287809 test-err:0.076200 test-nlik:0.277869
[131] train-err:0.075840 train-nlik:0.281114 valid-err:0.078300 valid-nlik:0.287356 test-err:0.076100 test-nlik:0.277460
[132] train-err:0.075700 train-nlik:0.280627 valid-err:0.078200 valid-nlik:0.286909 test-err:0.075700 test-nlik:0.277039
[133] train-err:0.075620 train-nlik:0.280139 valid-err:0.078200 valid-nlik:0.286460 test-err:0.075700 test-nlik:0.276597
[134] train-err:0.075400 train-nlik:0.279660 valid-err:0.078000 valid-nlik:0.286026 test-err:0.075700 test-nlik:0.276159
[135] train-err:0.075280 train-nlik:0.279191 valid-err:0.077800 valid-nlik:0.285601 test-err:0.075500 test-nlik:0.275727
[136] train-err:0.075140 train-nlik:0.278709 valid-err:0.077500 valid-nlik:0.285148 test-err:0.075300 test-nlik:0.275269
[137] train-err:0.075080 train-nlik:0.278236 valid-err:0.077500 valid-nlik:0.284720 test-err:0.075400 test-nlik:0.274834
[138] train-err:0.075080 train-nlik:0.277771 valid-err:0.077600 valid-nlik:0.284296 test-err:0.075200 test-nlik:0.274405
[139] train-err:0.074960 train-nlik:0.277318 valid-err:0.077400 valid-nlik:0.283876 test-err:0.075200 test-nlik:0.273979
[140] train-err:0.074920 train-nlik:0.276864 valid-err:0.077300 valid-nlik:0.283467 test-err:0.075000 test-nlik:0.273538
[141] train-err:0.074720 train-nlik:0.276407 valid-err:0.077200 valid-nlik:0.283052 test-err:0.075000 test-nlik:0.273083
[142] train-err:0.074720 train-nlik:0.275951 valid-err:0.077000 valid-nlik:0.282650 test-err:0.074700 test-nlik:0.272641
[143] train-err:0.074560 train-nlik:0.275500 valid-err:0.076700 valid-nlik:0.282248 test-err:0.074400 test-nlik:0.272192
[144] train-err:0.074420 train-nlik:0.275037 valid-err:0.076700 valid-nlik:0.281837 test-err:0.074500 test-nlik:0.271738
[145] train-err:0.074200 train-nlik:0.274583 valid-err:0.076600 valid-nlik:0.281431 test-err:0.074600 test-nlik:0.271309
[146] train-err:0.074140 train-nlik:0.274129 valid-err:0.076400 valid-nlik:0.281017 test-err:0.074600 test-nlik:0.270883
[147] train-err:0.073960 train-nlik:0.273673 valid-err:0.076200 valid-nlik:0.280595 test-err:0.074500 test-nlik:0.270448
[148] train-err:0.073880 train-nlik:0.273223 valid-err:0.076000 valid-nlik:0.280190 test-err:0.074500 test-nlik:0.270037
[149] train-err:0.073660 train-nlik:0.272769 valid-err:0.075800 valid-nlik:0.279781 test-err:0.074400 test-nlik:0.269616
[150] train-err:0.073480 train-nlik:0.272310 valid-err:0.075700 valid-nlik:0.279368 test-err:0.073900 test-nlik:0.269191
[151] train-err:0.073280 train-nlik:0.271851 valid-err:0.075300 valid-nlik:0.278955 test-err:0.073700 test-nlik:0.268772
[152] train-err:0.073140 train-nlik:0.271392 valid-err:0.075200 valid-nlik:0.278548 test-err:0.073600 test-nlik:0.268349
[153] train-err:0.073040 train-nlik:0.270939 valid-err:0.075000 valid-nlik:0.278149 test-err:0.073600 test-nlik:0.267935
[154] train-err:0.072820 train-nlik:0.270489 valid-err:0.074700 valid-nlik:0.277752 test-err:0.073300 test-nlik:0.267537
[155] train-err:0.072640 train-nlik:0.270043 valid-err:0.074500 valid-nlik:0.277369 test-err:0.073100 test-nlik:0.267142
[156] train-err:0.072500 train-nlik:0.269596 valid-err:0.074300 valid-nlik:0.276979 test-err:0.073200 test-nlik:0.266733
[157] train-err:0.072220 train-nlik:0.269147 valid-err:0.074300 valid-nlik:0.276577 test-err:0.072900 test-nlik:0.266322
[158] train-err:0.072140 train-nlik:0.268696 valid-err:0.074100 valid-nlik:0.276174 test-err:0.072900 test-nlik:0.265907
[159] train-err:0.072060 train-nlik:0.268243 valid-err:0.074100 valid-nlik:0.275764 test-err:0.072800 test-nlik:0.265492
[160] train-err:0.071940 train-nlik:0.267783 valid-err:0.073900 valid-nlik:0.275345 test-err:0.072700 test-nlik:0.265051
[161] train-err:0.071740 train-nlik:0.267323 valid-err:0.073900 valid-nlik:0.274928 test-err:0.072400 test-nlik:0.264621
[162] train-err:0.071640 train-nlik:0.266875 valid-err:0.073900 valid-nlik:0.274520 test-err:0.072400 test-nlik:0.264211
[163] train-err:0.071420 train-nlik:0.266422 valid-err:0.073900 valid-nlik:0.274126 test-err:0.072200 test-nlik:0.263805
[164] train-err:0.071320 train-nlik:0.265982 valid-err:0.073800 valid-nlik:0.273732 test-err:0.071900 test-nlik:0.263411
[165] train-err:0.071180 train-nlik:0.265537 valid-err:0.073600 valid-nlik:0.273318 test-err:0.071600 test-nlik:0.263014
[166] train-err:0.071000 train-nlik:0.265088 valid-err:0.073300 valid-nlik:0.272906 test-err:0.071500 test-nlik:0.262598
[167] train-err:0.070960 train-nlik:0.264651 valid-err:0.073200 valid-nlik:0.272505 test-err:0.071400 test-nlik:0.262210
[168] train-err:0.070760 train-nlik:0.264215 valid-err:0.073100 valid-nlik:0.272106 test-err:0.071300 test-nlik:0.261814
[169] train-err:0.070540 train-nlik:0.263781 valid-err:0.072900 valid-nlik:0.271709 test-err:0.071300 test-nlik:0.261422
[170] train-err:0.070440 train-nlik:0.263362 valid-err:0.072700 valid-nlik:0.271327 test-err:0.071300 test-nlik:0.261035
