[145] train-err:0.006600 train-nlik:0.045784 valid-err:0.021400 valid-nlik:0.081164 test-err:0.019000 test-nlik:0.073163
[146] train-err:0.006620 train-nlik:0.045744 valid-err:0.021200 valid-nlik:0.081088 test-err:0.019200 test-nlik:0.073178
[147] train-err:0.006660 train-nlik:0.045690 valid-err:0.021000 valid-nlik:0.080946 test-err:0.018900 test-nlik:0.073189
[148] train-err:0.006540 train-nlik:0.045665 valid-err:0.021100 valid-nlik:0.080834 test-err:0.018800 test-nlik:0.073172
[149] train-err:0.006520 train-nlik:0.045588 valid-err:0.021100 valid-nlik:0.080733 test-err:0.018700 test-nlik:0.073100
[150] train-err:0.006480 train-nlik:0.045495 valid-err:0.021200 valid-nlik:0.080669 test-err:0.018700 test-nlik:0.073017
[151] train-err:0.006440 train-nlik:0.045443 valid-err:0.021000 valid-nlik:0.080628 test-err:0.018700 test-nlik:0.072988
[152] train-err:0.006400 train-nlik:0.045340 valid-err:0.020700 valid-nlik:0.080579 test-err:0.019100 test-nlik:0.072895
[153] train-err:0.006360 train-nlik:0.045242 valid-err:0.020700 valid-nlik:0.080546 test-err:0.019000 test-nlik:0.072820
[154] train-err:0.006360 train-nlik:0.045134 valid-err:0.020700 valid-nlik:0.080480 test-err:0.018800 test-nlik:0.072764
[155] train-err:0.006360 train-nlik:0.045035 valid-err:0.020800 valid-nlik:0.080433 test-err:0.018700 test-nlik:0.072700
[156] train-err:0.006320 train-nlik:0.044924 valid-err:0.020500 valid-nlik:0.080361 test-err:0.018800 test-nlik:0.072628
[157] train-err:0.006320 train-nlik:0.044817 valid-err:0.020500 valid-nlik:0.080259 test-err:0.018700 test-nlik:0.072594
[158] train-err:0.006360 train-nlik:0.044758 valid-err:0.020500 valid-nlik:0.080219 test-err:0.019000 test-nlik:0.072564
[159] train-err:0.006300 train-nlik:0.044713 valid-err:0.020400 valid-nlik:0.080176 test-err:0.019000 test-nlik:0.072536
[160] train-err:0.006340 train-nlik:0.044627 valid-err:0.020300 valid-nlik:0.080101 test-err:0.018800 test-nlik:0.072510
[161] train-err:0.006340 train-nlik:0.044593 valid-err:0.020400 valid-nlik:0.079958 test-err:0.018800 test-nlik:0.072521
[162] train-err:0.006300 train-nlik:0.044548 valid-err:0.020300 valid-nlik:0.079904 test-err:0.019000 test-nlik:0.072472
[163] train-err:0.006220 train-nlik:0.044477 valid-err:0.020300 valid-nlik:0.079848 test-err:0.019000 test-nlik:0.072425
[164] train-err:0.006200 train-nlik:0.044365 valid-err:0.020200 valid-nlik:0.079799 test-err:0.018900 test-nlik:0.072359
[165] train-err:0.006140 train-nlik:0.044260 valid-err:0.020000 valid-nlik:0.079736 test-err:0.018900 test-nlik:0.072293
[166] train-err:0.006100 train-nlik:0.044167 valid-err:0.020000 valid-nlik:0.079673 test-err:0.018900 test-nlik:0.072259
[167] train-err:0.006040 train-nlik:0.044101 valid-err:0.019700 valid-nlik:0.079625 test-err:0.019000 test-nlik:0.072220
[168] train-err:0.006120 train-nlik:0.044047 valid-err:0.019900 valid-nlik:0.079592 test-err:0.019100 test-nlik:0.072155
[169] train-err:0.006060 train-nlik:0.043990 valid-err:0.019800 valid-nlik:0.079464 test-err:0.019000 test-nlik:0.072081
[170] train-err:0.006060 train-nlik:0.043931 valid-err:0.019900 valid-nlik:0.079415 test-err:0.019000 test-nlik:0.072033
[171] train-err:0.006060 train-nlik:0.043877 valid-err:0.019800 valid-nlik:0.079379 test-err:0.019100 test-nlik:0.071989
[172] train-err:0.006080 train-nlik:0.043832 valid-err:0.020000 valid-nlik:0.079373 test-err:0.019100 test-nlik:0.071951
